status	company_name	meetings	founder	high_concept	industry	focus	field	notes	company_url	discussion	Notes2	metwith	dateapplied	location	description
	1App		Raheel Hasan, Melvin Cardozo, Badri Gopalan, Sharjeel Hasan	Through its proprietary cloud-based mobile operating system (OneOS), 1APP makes apps instantly available on mobile devices.	Mobile, Social Media, Software, Apps	B2C	Mobile, Social Media, Software, Apps. Focus : B2C		https://www.1app.com/			x		Santa Clara	 Met With: x
	451 Degrees		Patrick Giblin	451 Degrees organized in 2006 as a social media and marketing services agency focused on developing strategies, solutions and video content centered around the Internet as it related to media company agendas.	Media	B2C	Media. Focus : B2C	SDVGCoolCo2015	http://www.451degrees.com/451-degrees/					San Diego	Notes : SDVGCoolCo2015
	64pos		David Baldo	Point of sale software for dispensaries	Marijuana, SaaS		Marijuana, SaaS		https://www.64pos.com/						
	A Look At Media		Fred Mullins	A Look At Media produces Destination-Specific”30 minute video programming for the travel industry.	Media	B2C	Media. Focus : B2C		http://www.alookat.com/index.php					San Diego	
	A4shr.com		Charlie Wund	Agency for Student Health Research - mobile injury reporting app	Education, EdTech, Health Care, Risk Management, Analytics, mHealth, Software, Big Data, Information Technology		Education, EdTech, Health Care, Risk Management, Analytics, mHealth, Software, Big Data, Information Technology		http://www.injurefree.com/					San Diego	
	Aboomoo VR			Our Platform provides 3rd party companies opportunity to upload their locations content in VR and 360 degrees mode. This can be a brilliant marketplace to monetize own VR and 3D content.	VR	B2B2C	VR. Focus : B2B2C	EvoCompanies2016	http://aboomoo.com/					San Diego	Notes : EvoCompanies2016
	Abreos Biosciences		Bradley Messmer, Peter Habers	Impacting the delivery of biologic drugs by offering precision dosing tools that will maximize the value of the drugs and expand access of these powerful medications to patients.	LifeSci	B2B2C	LifeSci. Focus : B2B2C	SDVGCoolCo2017	http://www.abreos.com/					San Diego	Notes : SDVGCoolCo2017
	Accel Robotics Corporation		Marius Buibas, Nick Morozvsky, Brandon Maseda, Martin Cseh	The core technology AR developed is a 360 degree visual intelligence (VI) that enables the robots to see and interact with humans while gathering data for behavioral analytics.Our first vertical market is retail, and in that environment, OMNIO works as an AI-enabled shopping assistant helping both customers and associates.	AR	B2B2C	AR. Focus : B2B2C	EvoCompanies2016, SDVGCoolCo2017						San Diego	Notes : EvoCompanies2016, SDVGCoolCo2017
	Additive Rocket Corporation			ARC 3D prints metal rocket engines for the space industry. We create high performing, customized thrust chambers in a tenth the time and at half the cost of traditional methods. Our mission is to democratize space by providing reliable and affordable propulsion solutions.	Aerospace	B2B	Aerospace. Focus : B2B	EvoCompanies2016, SDVGCoolCo2017, The Basement	http://arc-engines.com/					San Diego	Notes : EvoCompanies2016, SDVGCoolCo2017, The Basement
n/a	Adformics								http://adformics.com/					San Diego	
	Adven-Soft		Prit Basu	AdvEnSoft is an Independent Software Vendor (ISV) that develops customized software systems for the automation of business processes in an engineered product company.					https://www.advensoftinc.com/					San Diego	
n/a	Aequor Technologies?			Our distinct business approach interconnects our core expertise in IT solutions and consulting with a commitment to customized solutions.					http://aequor.com					San Diego	
	Aequor, Inc.		Cynthia Burzell	Aequor has developed a portfolio of green, non-toxic, eco-friendly small molecules that mimic a novel natural chemical compound discovered in the ocean and effectively control bacteria, fungi, and fouling in a new way.								EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
	Affinity Influencing Systems		Gabe Coyne	Affinity.is helps retailers attract more customers through a customer rewarding system that involve celebrities.	Mobile, Consumer		Mobile, Consumer		http://influencemobile.com/					Washington	
	Ag Shift		Miku Jha	AgShift indexes and analyzes observation points captured daily across the food supply chain - automating key elements of food assessment and unearthing connections that improve transparency.					https://www.agshift.com/						
	Air Cross, Inc.			Air Cross developed ecoHEALTH, a spray that incorporates artificial photosynthesis technology		B2B2C	. Focus : B2B2C		http://www.aircrossinc.com/			EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
	Aira Tech Corp (Kast Inc)		Suman Kanuganti, Yuja Chang	Aira Tech Corp. provides an online platform that operates as a visual interpreter and navigator for blind and low-vision users.					https://aira.io/					San Diego	
	American Plenty		Karen Baxter	American Plenty is a stand alone drive-thru express market, with a focus on providing locally grown organic produce, healthy food, plant-based food options and lifestyle essentials (pet food, wine, diapers, fresh flowers, firewood etc).	Market, Food and Beverage		Market, Food and Beverage		http://www.americanplenty.com/						
	Anametrix		Blaise Barallet	A Single Source of First-Party Customer Data and Profiles to Power Your Marketing	Internet, SaaS, Analytics, Big Data		Internet, SaaS, Analytics, Big Data	Now Ensighten	https://www.ensighten.com/					San Diego	Notes : Now Ensighten
n/a	Anarchist		Bobby Boyd, Laura Cabrera	We're building hardware and software products that make it easier to create and collaborate in virtual reality and augmented reality.	Developer Tools, Augmented Reality, Consumer Electronics, Hardware, Software, Virtual Reality		Developer Tools, Augmented Reality, Consumer Electronics, Hardware, Software, Virtual Reality		www.anarchist.com					San Diego	
	anaZana, Inc.			Web Development & CAM Platform for Website Wholesalers	Big Data	B2B	Big Data. Focus : B2B		https://www.anazana.com/					San Diego	
	Angeloop		Igor Feerer	Angeloop: Mixing social networking, reporting, business intelligence and analytics solutions for startups and investors.	Social Networking, Business Intelligence, Investor Relations, and Startup Reporting		Social Networking, Business Intelligence, Investor Relations, and Startup Reporting		https://www.angelloop.com/					SF	
	Animate Objects		Chance Roth	The First Gamified AR Location Platform for theme parks, malls and in-the-wild.	VR, AR, Venue and events		VR, AR, Venue and events		http://animateobjects.net/					San Diego	
*	Anno App		Patrick Caughey	PhotoSurvey's flagship product, Anno, is a software service (SaaS) that streamlines the process of taking, annotating and sharing photos used for visual analysis and documentation.	SaaS, Architecture, Photo Annotation		SaaS, Architecture, Photo Annotation							San Diego	
	Ano		Patrick Caughey (48%) ; partner Rockey (40% ownership; invested 600k)	Photo annotation	Landscape maintenance, architecture	B2C	Landscape maintenance, architecture. Focus : B2C	1 paying customer; development costs 600k; raised 150k (operations, legal fees); 42 teams-80 active users; $25.37 revenue		Raken, NoteVault, Envision doing similar. Per customer per month rate.		Allison, Andy, Eric, Kelly, Taner, Cait		San Diego	Notes : 1 paying customer; development costs 600k; raised 150k (operations, legal fees); 42 teams-80 active users; $25.37 revenue Active Discussion: Raken, NoteVault, Envision doing similar. Per customer per month rate. Met With: Allison, Andy, Eric, Kelly, Taner, Cait
	Ansir SD		Ping Wang	a startup hub located in the Kearny Mesa area of San Diego, California.	Life Science and Technology		Life Science and Technology		http://ansirsd.com/						
	Antengo					Marketplace	. Focus : Marketplace		https://antengo.com/#/browse					San Diego	
	antsle, Inc.		Bernie Blume	The Private Cloud Server, Designed for Developers .	Cloud	B2C	Cloud. Focus : B2C	SDVGCoolCo2017	antsle.com					San Diego	Notes : SDVGCoolCo2017
	Apmetrix		Mark Caldwell, Blaise Barrelet, Lee Jacobson	Apmetrix Inc. is an enterprise data management company that delivers analytics solutions for entertainment companies in the mobile, gaming, and digital media space.	Collectibles, Analytics, Apps, Software, Mobile	B2B	Collectibles, Analytics, Apps, Software, Mobile. Focus : B2B		http://www.apmetrix.com/					San Diego	
n/a	AppZorz		Keith Posehn											San Diego	
	Arc Engines		Andy Kieatiwong, Kyle Adriany	The Additive Rocket Corporation rapidly designs, manufactures, and tests advanced metal thrust chambers.	Manufacturing, Space, Engines		Manufacturing, Space, Engines		http://arc-engines.com/						
	Assured Wireless 		Tom Bilotta	Off the grid hot spots for first responders 	 telco hardware and radio 	B2B	 telco hardware and radio . Focus : B2B	$750K Raise 	http://www.assured-wireless.com		Seasoned team working in small space. As of 6/13/17 they are going through TCA. I asked for them to come back to us if they went to DD.  https://docsend.com/view/25hv892	Eric		San Diego	Notes : $750K Raise  ,Seasoned team working in small space. As of 6/13/17 they are going through TCA. I asked for them to come back to us if they went to DD.  https://docsend.com/view/25hv892 Met With: Eric
	AstroPrint		Drew Taylor, Daniel Arroyo, Joshua White	The AstroBox Touch is a simple, intuitive, cloud connected touchscreen for your 3D Printer	Hardware	B2B	Hardware. Focus : B2B		https://www.astroprint.com/					San Diego	
	Athlete IQ		Bryan Ferguson	Athlete IQ is a passionate community of influential and highly engaged athletes connected to the brands and events that celebrate them. Athletes can discover expert mentors, product recommendations, event reviews, as well as exclusive offers from brands and events.					http://athleteiq.com/					San Diego	
	AttackIQ, Inc.		Pedram Amini	Platform for security infrastructure validation	Security	B2B	Security. Focus : B2B	SDVGCoolCo2016	https://www.attackiq.com/					San Diego	Notes : SDVGCoolCo2016
	Backplane		Troy Carter, Jan D'Alessandro, Vinay Hiremath	Backplane is a platform that allows like-minded people to connect across their shared interests.					http://thebackplane.com/					San Diego	
n/a	Balanced			Balance is an easy-to-use micro-investing mobile app that rounds up the change from your daily transactions and invests it into companies that reflect your values, through Socially Responsible Investments.								EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
	Band of Hands		Aziz Badra	An app that instantly puts the Power to Post or Find Work in the palm of your hand.	Information Technology and Services	B2B2C	Information Technology and Services. Focus : B2B2C	Neal Bloom, Terry Moore	https://www.bandofhands.com/					San Diego	Notes : Neal Bloom, Terry Moore
	BandwidthX		Pertti Visuri	BandwidthX provides a market where both Mobile Operators and Internet Service Providers can define their value for capacity in real time	ISP, Wireless, Mobile	B2B 	ISP, Wireless, Mobile. Focus : B2B 		http://www.bandwidthx.com/			x		San Diego	 Met With: x
	BenRevo, Inc.		Jimson Tharayil	SaaS platform that integrates with insurance carriers and automates the entire distribution process with channel partners and clients.	Cloud based/SaaS	B2B2C	Cloud based/SaaS. Focus : B2B2C		https://www.benrevo.com/					San Diego	
n/a	Better Life Technologies Group, Inc.			Better Life Technologies Group, Inc.'s mission is to bring life-preserving and life-improving technologies to the world.	Devices	B2C	Devices. Focus : B2C		http://www.betterlifetech.net/home.html					San Diego	
	BioAtla		Jay Short	BioAtla is a protein therapeutic company that uses discovery and evolution to develop safer and more potent drugs for the treatment of cancer.	LifeSci	B2B	LifeSci. Focus : B2B		http://bioatla.com/					San Diego	
	BiomedWired			BiomedWired UCSD is a student-run organization dedicated to encouraging professionalism and promoting opportunity for students in the biomedical field					http://biomedwireducsd.weebly.com/					San Diego	
	BitScoop		William Collins-Broza, Steven Berry	API integration platform	Internet, Developer APIs, Developer Tools, PaaS, Web Apps, Mobile		Internet, Developer APIs, Developer Tools, PaaS, Web Apps, Mobile	raising 300k on 2m, no paying customers	https://bitscoop.com/signup					San Diego	Notes : raising 300k on 2m, no paying customers
	BLKBOX		Nick Venti	BLKBOX is a mobile app/website that allows users to combine their life's moments with the perfect song. It is Instagram with music.								EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
n/a	Blue Tribe, Inc.			Coastal informatics	AI		AI		http://www.thebluetribe.com/					San Diego	
	BlueFlame Energy Finance LLC		Kumar Aiyer	low-cost, low-friction financing solutions for distributed and renewable energy projects	Cloud/SaaS		Cloud/SaaS	Acquired by Hyperqual	https://hyperqual.com/					San Diego	Notes : Acquired by Hyperqual
n/a	Blurtopia		Grant Brostrom	Feedback app for social networking	Mobile/Communication	B2C	Mobile/Communication. Focus : B2C		http://www.blurtopia.com/					San Diego	
	bNesis		Dmitriy Norenko	bNesis is a Unified API service that saves up to 95% of the coding time on integration and support of multiple cloud services with mobile, desktop and WEB applications	Cloud/SaaS		Cloud/SaaS		https://bnesis.com/			EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
n/a	BoxedGreen		Eaman Talai	BoxedGreen is an innovative, sustainable platform used by facilities and retailers to get more value for their unwanted and used cardboard boxes.										San Diego	
n/a	Brainyno inc.		Ruggero Scorcioni						http://www.brainyno.com/					San Diego	
